*******************************************************************************
Ephemeris / WWW_USER Thu Mar  7 10:10:32 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Hayabusa 2 (spacecraft) (-37)   {source: hayabusa-2_merged}
Center body name: Earth (399)                     {source: hayabusa-2_merged}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Mar-07 12:30:00.0000 UT      
Stop  time      : A.D. 2019-Mar-07 18:30:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: hayabusa-2_merged}
Rel. light bend : Sun, EARTH                      {source: hayabusa-2_merged}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190306.p190528                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-MAR-06. PREDICTS-> 2019-MAY-27
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Mar-07 13:54 *m  21 34 00.76 -11 21 03.9 103.4382  39.00024 2.23277543110400  -7.3378612  24.4980 /L  17.1930
 2019-Mar-07 13:55 *m  21 34 00.88 -11 21 03.2 103.4365  39.00107 2.23277248837607  -7.3365666  24.4982 /L  17.1932
 2019-Mar-07 13:56 *m  21 34 00.99 -11 21 02.6 103.4347  39.00191 2.23276954616803  -7.3352686  24.4984 /L  17.1933
 2019-Mar-07 13:57 *m  21 34 01.11 -11 21 02.0 103.4330  39.00274 2.23276660448126  -7.3339672  24.4985 /L  17.1934
 2019-Mar-07 13:58 *m  21 34 01.23 -11 21 01.3 103.4312  39.00357 2.23276366331710  -7.3326625  24.4987 /L  17.1936
 2019-Mar-07 13:59 *m  21 34 01.35 -11 21 00.7 103.4295  39.00441 2.23276072267686  -7.3313545  24.4989 /L  17.1937
 2019-Mar-07 14:00 *m  21 34 01.46 -11 21 00.0 103.4278  39.00525 2.23275778256190  -7.3300432  24.4991 /L  17.1938
 2019-Mar-07 14:01 *m  21 34 01.58 -11 20 59.4 103.4261  39.00609 2.23275484297352  -7.3287287  24.4993 /L  17.1939
 2019-Mar-07 14:02 *m  21 34 01.70 -11 20 58.7 103.4244  39.00693 2.23275190391303  -7.3274108  24.4994 /L  17.1941
 2019-Mar-07 14:03 *m  21 34 01.82 -11 20 58.1 103.4228  39.00777 2.23274896538171  -7.3260898  24.4996 /L  17.1942
 2019-Mar-07 14:04 *m  21 34 01.93 -11 20 57.4 103.4211  39.00861 2.23274602738085  -7.3247656  24.4998 /L  17.1943
 2019-Mar-07 14:05 *m  21 34 02.05 -11 20 56.8 103.4195  39.00946 2.23274308991172  -7.3234383  24.5000 /L  17.1945
 2019-Mar-07 14:06 *m  21 34 02.17 -11 20 56.1 103.4178  39.01030 2.23274015297558  -7.3221078  24.5002 /L  17.1946
 2019-Mar-07 14:07 *m  21 34 02.28 -11 20 55.5 103.4162  39.01115 2.23273721657368  -7.3207742  24.5003 /L  17.1947
 2019-Mar-07 14:08 *m  21 34 02.40 -11 20 54.8 103.4146  39.01200 2.23273428070727  -7.3194375  24.5005 /L  17.1949
 2019-Mar-07 14:09 *m  21 34 02.52 -11 20 54.2 103.4130  39.01285 2.23273134537757  -7.3180978  24.5007 /L  17.1950
 2019-Mar-07 14:10 *m  21 34 02.64 -11 20 53.5 103.4115  39.01370 2.23272841058580  -7.3167550  24.5009 /L  17.1951
 2019-Mar-07 14:11 *m  21 34 02.75 -11 20 52.9 103.4099  39.01455 2.23272547633317  -7.3154093  24.5010 /L  17.1953
 2019-Mar-07 14:12 *m  21 34 02.87 -11 20 52.2 103.4084  39.01541 2.23272254262088  -7.3140605  24.5012 /L  17.1954
 2019-Mar-07 14:13 *m  21 34 02.99 -11 20 51.6 103.4068  39.01626 2.23271960945011  -7.3127089  24.5014 /L  17.1955
 2019-Mar-07 14:14 *m  21 34 03.11 -11 20 50.9 103.4053  39.01712 2.23271667682205  -7.3113543  24.5016 /L  17.1957
 2019-Mar-07 14:15 *m  21 34 03.22 -11 20 50.3 103.4038  39.01798 2.23271374473785  -7.3099968  24.5018 /L  17.1958
 2019-Mar-07 14:16 *m  21 34 03.34 -11 20 49.6 103.4023  39.01884 2.23271081319867  -7.3086364  24.5019 /L  17.1959
 2019-Mar-07 14:17 *m  21 34 03.46 -11 20 49.0 103.4009  39.01970 2.23270788220565  -7.3072732  24.5021 /L  17.1961
 2019-Mar-07 14:18 *m  21 34 03.57 -11 20 48.3 103.3994  39.02056 2.23270495175993  -7.3059072  24.5023 /L  17.1962
 2019-Mar-07 14:19 *m  21 34 03.69 -11 20 47.7 103.3980  39.02142 2.23270202186263  -7.3045385  24.5025 /L  17.1963
 2019-Mar-07 14:20 *m  21 34 03.81 -11 20 47.0 103.3965  39.02228 2.23269909251486  -7.3031669  24.5027 /L  17.1965
 2019-Mar-07 14:21 *m  21 34 03.93 -11 20 46.4 103.3951  39.02315 2.23269616371772  -7.3017927  24.5028 /L  17.1966
 2019-Mar-07 14:22 *m  21 34 04.04 -11 20 45.7 103.3937  39.02401 2.23269323547229  -7.3004157  24.5030 /L  17.1967
 2019-Mar-07 14:23 *m  21 34 04.16 -11 20 45.1 103.3923  39.02488 2.23269030777967  -7.2990360  24.5032 /L  17.1969
 2019-Mar-07 14:24 *m  21 34 04.28 -11 20 44.4 103.3909  39.02575 2.23268738064090  -7.2976538  24.5034 /L  17.1970
 2019-Mar-07 14:25 *m  21 34 04.39 -11 20 43.8 103.3896  39.02662 2.23268445405706  -7.2962688  24.5035 /L  17.1971
 2019-Mar-07 14:26 *m  21 34 04.51 -11 20 43.1 103.3882  39.02749 2.23268152802919  -7.2948813  24.5037 /L  17.1973
 2019-Mar-07 14:27 *m  21 34 04.63 -11 20 42.5 103.3869  39.02836 2.23267860255832  -7.2934913  24.5039 /L  17.1974
 2019-Mar-07 14:28 *m  21 34 04.75 -11 20 41.9 103.3856  39.02923 2.23267567764547  -7.2920987  24.5041 /L  17.1975
 2019-Mar-07 14:29 *m  21 34 04.86 -11 20 41.2 103.3843  39.03011 2.23267275329166  -7.2907035  24.5043 /L  17.1977
 2019-Mar-07 14:30 *m  21 34 04.98 -11 20 40.6 103.3830  39.03098 2.23266982949789  -7.2893059  24.5044 /L  17.1978
 2019-Mar-07 14:31 *m  21 34 05.10 -11 20 39.9 103.3817  39.03186 2.23266690626514  -7.2879059  24.5046 /L  17.1979
 2019-Mar-07 14:32 *m  21 34 05.22 -11 20 39.3 103.3805  39.03274 2.23266398359440  -7.2865034  24.5048 /L  17.1981
