*******************************************************************************
Ephemeris / WWW_USER Tue Feb 19 21:49:09 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Voyager 1 (spacecraft) (-31)    {source: Voyager_1}
Center body name: Earth (399)                     {source: Voyager_1}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Feb-20 19:15:00.0000 UT      
Stop  time      : A.D. 2019-Feb-21 07:15:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: Voyager_1}
Rel. light bend : Sun, EARTH                      {source: Voyager_1}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190218.p190512                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-FEB-18. PREDICTS-> 2019-MAY-11
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Feb-20 20:42 *   17 14 28.43 +12 06 19.5 0.375396  0.541886 145.001909295999  -6.5440547  77.9861 /L   0.3819
 2019-Feb-20 20:43 *   17 14 28.44 +12 06 19.5 0.375430  0.541895 145.001906671306  -6.5449668  77.9866 /L   0.3819
 2019-Feb-20 20:44 *   17 14 28.44 +12 06 19.5 0.375465  0.541904 145.001904046247  -6.5458847  77.9872 /L   0.3819
 2019-Feb-20 20:45 *   17 14 28.44 +12 06 19.5 0.375499  0.541913 145.001901420818  -6.5468083  77.9878 /L   0.3819
 2019-Feb-20 20:46 *   17 14 28.44 +12 06 19.5 0.375533  0.541922 145.001898795017  -6.5477377  77.9883 /L   0.3819
 2019-Feb-20 20:47 *   17 14 28.44 +12 06 19.5 0.375567  0.541932 145.001896168843  -6.5486727  77.9889 /L   0.3819
 2019-Feb-20 20:48 *   17 14 28.44 +12 06 19.5 0.375600  0.541941 145.001893542292  -6.5496134  77.9894 /L   0.3819
 2019-Feb-20 20:49 *   17 14 28.44 +12 06 19.5 0.375634  0.541950 145.001890915363  -6.5505598  77.9900 /L   0.3819
 2019-Feb-20 20:50 *   17 14 28.44 +12 06 19.6 0.375668  0.541960 145.001888288053  -6.5515119  77.9905 /L   0.3819
 2019-Feb-20 20:51 *   17 14 28.44 +12 06 19.6 0.375701  0.541969 145.001885660361  -6.5524696  77.9911 /L   0.3819
 2019-Feb-20 20:52 *   17 14 28.44 +12 06 19.6 0.375734  0.541979 145.001883032283  -6.5534329  77.9917 /L   0.3819
 2019-Feb-20 20:53 *   17 14 28.44 +12 06 19.6 0.375767  0.541988 145.001880403818  -6.5544018  77.9922 /L   0.3819
 2019-Feb-20 20:54 *   17 14 28.44 +12 06 19.6 0.375800  0.541998 145.001877774963  -6.5553763  77.9928 /L   0.3819
 2019-Feb-20 20:55 *   17 14 28.44 +12 06 19.6 0.375833  0.542007 145.001875145716  -6.5563564  77.9933 /L   0.3819
 2019-Feb-20 20:56 *   17 14 28.44 +12 06 19.6 0.375865  0.542017 145.001872516075  -6.5573420  77.9939 /L   0.3819
 2019-Feb-20 20:57 *   17 14 28.44 +12 06 19.6 0.375898  0.542027 145.001869886037  -6.5583332  77.9945 /L   0.3819
 2019-Feb-20 20:58 *   17 14 28.44 +12 06 19.6 0.375930  0.542036 145.001867255601  -6.5593299  77.9950 /L   0.3819
 2019-Feb-20 20:59 *   17 14 28.44 +12 06 19.6 0.375963  0.542046 145.001864624764  -6.5603320  77.9956 /L   0.3819
 2019-Feb-20 21:00 *   17 14 28.44 +12 06 19.6 0.375995  0.542056 145.001861993524  -6.5613397  77.9962 /L   0.3819
 2019-Feb-20 21:01 *   17 14 28.44 +12 06 19.7 0.376027  0.542066 145.001859361879  -6.5623528  77.9967 /L   0.3819
 2019-Feb-20 21:02 *   17 14 28.44 +12 06 19.7 0.376058  0.542075 145.001856729826  -6.5633714  77.9973 /L   0.3819
 2019-Feb-20 21:03 *   17 14 28.44 +12 06 19.7 0.376090  0.542085 145.001854097364  -6.5643954  77.9978 /L   0.3819
 2019-Feb-20 21:04 *   17 14 28.44 +12 06 19.7 0.376122  0.542095 145.001851464490  -6.5654248  77.9984 /L   0.3819
 2019-Feb-20 21:05 *   17 14 28.44 +12 06 19.7 0.376153  0.542105 145.001848831202  -6.5664596  77.9990 /L   0.3819
 2019-Feb-20 21:06 *   17 14 28.44 +12 06 19.7 0.376184  0.542115 145.001846197498  -6.5674997  77.9995 /L   0.3819
 2019-Feb-20 21:07 *   17 14 28.45 +12 06 19.7 0.376215  0.542125 145.001843563376  -6.5685453  78.0001 /L   0.3819
 2019-Feb-20 21:08 *   17 14 28.45 +12 06 19.7 0.376246  0.542135 145.001840928833  -6.5695961  78.0006 /L   0.3819
 2019-Feb-20 21:09 *   17 14 28.45 +12 06 19.7 0.376277  0.542146 145.001838293868  -6.5706523  78.0012 /L   0.3819
 2019-Feb-20 21:10 *   17 14 28.45 +12 06 19.7 0.376307  0.542156 145.001835658478  -6.5717138  78.0018 /L   0.3819
 2019-Feb-20 21:11 *   17 14 28.45 +12 06 19.7 0.376338  0.542166 145.001833022662  -6.5727805  78.0023 /L   0.3819
 2019-Feb-20 21:12 *   17 14 28.45 +12 06 19.8 0.376368  0.542176 145.001830386417  -6.5738525  78.0029 /L   0.3819
 2019-Feb-20 21:13 *   17 14 28.45 +12 06 19.8 0.376398  0.542187 145.001827749740  -6.5749298  78.0034 /L   0.3819
 2019-Feb-20 21:14 *   17 14 28.45 +12 06 19.8 0.376428  0.542197 145.001825112631  -6.5760123  78.0040 /L   0.3819
 2019-Feb-20 21:15 *   17 14 28.45 +12 06 19.8 0.376458  0.542207 145.001822475086  -6.5770999  78.0046 /L   0.3819
 2019-Feb-20 21:16 *   17 14 28.45 +12 06 19.8 0.376488  0.542218 145.001819837104  -6.5781928  78.0051 /L   0.3819
 2019-Feb-20 21:17 *   17 14 28.45 +12 06 19.8 0.376517  0.542228 145.001817198683  -6.5792908  78.0057 /L   0.3819
 2019-Feb-20 21:18 *   17 14 28.45 +12 06 19.8 0.376547  0.542239 145.001814559820  -6.5803940  78.0062 /L   0.3819
 2019-Feb-20 21:19 *   17 14 28.45 +12 06 19.8 0.376576  0.542249 145.001811920514  -6.5815023  78.0068 /L   0.3819
 2019-Feb-20 21:20 *   17 14 28.45 +12 06 19.8 0.376605  0.542260 145.001809280763  -6.5826157  78.0074 /L   0.3819
 2019-Feb-20 21:21 *   17 14 28.45 +12 06 19.8 0.376634  0.542270 145.001806640564  -6.5837342  78.0079 /L   0.3819
 2019-Feb-20 21:22 *   17 14 28.45 +12 06 19.8 0.376663  0.542281 145.001803999915  -6.5848577  78.0085 /L   0.3819
 2019-Feb-20 21:23 *   17 14 28.45 +12 06 19.9 0.376691  0.542291 145.001801358814  -6.5859863  78.0090 /L   0.3819
 2019-Feb-20 21:24 *   17 14 28.45 +12 06 19.9 0.376720  0.542302 145.001798717260  -6.5871199  78.0096 /L   0.3819
 2019-Feb-20 21:25 *   17 14 28.45 +12 06 19.9 0.376748  0.542313 145.001796075251  -6.5882586  78.0102 /L   0.3819
