*******************************************************************************
Ephemeris / WWW_USER Tue Feb 19 21:46:06 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: New Horizons (spacecraft) (-98) {source: NH_merged}
Center body name: Earth (399)                     {source: NH_merged}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Feb-20 19:15:00.0000 UT      
Stop  time      : A.D. 2019-Feb-21 07:15:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Pluto
Vis. interferer : MOON (R_eq= 1737.400) km        {source: NH_merged}
Rel. light bend : Sun, EARTH                      {source: NH_merged}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190218.p190512                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-FEB-18. PREDICTS-> 2019-MAY-11
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Feb-20 20:12 *   19 13 17.27 -20 25 53.7 2.554534  0.424511 44.3847639968424  -6.4682732  44.5252 /L   0.9056
 2019-Feb-20 20:13 *   19 13 17.27 -20 25 53.7 2.554684  0.424514 44.3847614026741  -6.4684005  44.5258 /L   0.9056
 2019-Feb-20 20:14 *   19 13 17.27 -20 25 53.7 2.554834  0.424516 44.3847588084534  -6.4685343  44.5265 /L   0.9056
 2019-Feb-20 20:15 *   19 13 17.27 -20 25 53.7 2.554984  0.424519 44.3847562141778  -6.4686747  44.5272 /L   0.9056
 2019-Feb-20 20:16 *   19 13 17.28 -20 25 53.7 2.555134  0.424521 44.3847536198446  -6.4688216  44.5279 /L   0.9056
 2019-Feb-20 20:17 *   19 13 17.28 -20 25 53.7 2.555285  0.424523 44.3847510254512  -6.4689750  44.5286 /L   0.9056
 2019-Feb-20 20:18 *   19 13 17.28 -20 25 53.7 2.555435  0.424524 44.3847484309949  -6.4691349  44.5293 /L   0.9056
 2019-Feb-20 20:19 *   19 13 17.29 -20 25 53.7 2.555585  0.424525 44.3847458364732  -6.4693013  44.5299 /L   0.9056
 2019-Feb-20 20:20 *   19 13 17.29 -20 25 53.7 2.555735  0.424526 44.3847432418834  -6.4694743  44.5306 /L   0.9057
 2019-Feb-20 20:21 *   19 13 17.29 -20 25 53.7 2.555886  0.424527 44.3847406472229  -6.4696539  44.5313 /L   0.9057
 2019-Feb-20 20:22 *   19 13 17.30 -20 25 53.7 2.556036  0.424527 44.3847380524891  -6.4698399  44.5320 /L   0.9057
 2019-Feb-20 20:23 *   19 13 17.30 -20 25 53.7 2.556187  0.424527 44.3847354576794  -6.4700325  44.5327 /L   0.9057
 2019-Feb-20 20:24 *   19 13 17.30 -20 25 53.7 2.556337  0.424527 44.3847328627911  -6.4702317  44.5333 /L   0.9057
 2019-Feb-20 20:25 *   19 13 17.31 -20 25 53.7 2.556488  0.424527 44.3847302678216  -6.4704373  44.5340 /L   0.9057
 2019-Feb-20 20:26 *   19 13 17.31 -20 25 53.6 2.556638  0.424526 44.3847276727684  -6.4706495  44.5347 /L   0.9057
 2019-Feb-20 20:27 *   19 13 17.31 -20 25 53.6 2.556789  0.424525 44.3847250776287  -6.4708683  44.5354 /L   0.9057
 2019-Feb-20 20:28 *   19 13 17.31 -20 25 53.6 2.556939  0.424524 44.3847224824000  -6.4710936  44.5361 /L   0.9057
 2019-Feb-20 20:29 *   19 13 17.32 -20 25 53.6 2.557090  0.424522 44.3847198870796  -6.4713254  44.5367 /L   0.9058
 2019-Feb-20 20:30 *   19 13 17.32 -20 25 53.6 2.557240  0.424521 44.3847172916649  -6.4715638  44.5374 /L   0.9058
 2019-Feb-20 20:31 *   19 13 17.32 -20 25 53.6 2.557391  0.424519 44.3847146961533  -6.4718087  44.5381 /L   0.9058
 2019-Feb-20 20:32 *   19 13 17.33 -20 25 53.6 2.557541  0.424516 44.3847121005422  -6.4720602  44.5388 /L   0.9058
 2019-Feb-20 20:33 *   19 13 17.33 -20 25 53.6 2.557692  0.424514 44.3847095048289  -6.4723182  44.5395 /L   0.9058
