*******************************************************************************
Ephemeris / WWW_USER Wed Mar 27 21:54:47 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Hayabusa 2 (spacecraft) (-37)   {source: hayabusa-2_merged}
Center body name: Earth (399)                     {source: hayabusa-2_merged}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Mar-28 15:00:00.0000 UT      
Stop  time      : A.D. 2019-Mar-29 03:00:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: hayabusa-2_merged}
Rel. light bend : Sun, EARTH                      {source: hayabusa-2_merged}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190327.p190618                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-MAR-27. PREDICTS-> 2019-JUN-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Mar-28 16:55 *   22 33 29.01 -05 25 03.6 104.1350  45.04358 2.13645130103335  -8.4004743  29.6567 /L  21.2624
 2019-Mar-28 16:56 *   22 33 29.13 -05 25 02.8 104.1364  45.04406 2.13644793216362  -8.3990352  29.6569 /L  21.2626
 2019-Mar-28 16:57 *   22 33 29.24 -05 25 02.1 104.1378  45.04454 2.13644456387055  -8.3975987  29.6570 /L  21.2627
 2019-Mar-28 16:58 *   22 33 29.36 -05 25 01.3 104.1392  45.04501 2.13644119615311  -8.3961648  29.6572 /L  21.2628
 2019-Mar-28 16:59 *   22 33 29.48 -05 25 00.6 104.1407  45.04549 2.13643782901026  -8.3947334  29.6574 /L  21.2630
 2019-Mar-28 17:00 *   22 33 29.59 -05 24 59.8 104.1421  45.04597 2.13643446244098  -8.3933046  29.6575 /L  21.2631
 2019-Mar-28 17:01 *   22 33 29.71 -05 24 59.1 104.1436  45.04644 2.13643109644422  -8.3918784  29.6577 /L  21.2632
 2019-Mar-28 17:02 *   22 33 29.82 -05 24 58.3 104.1451  45.04691 2.13642773101892  -8.3904549  29.6578 /L  21.2633
 2019-Mar-28 17:03 *   22 33 29.94 -05 24 57.6 104.1466  45.04739 2.13642436616399  -8.3890341  29.6580 /L  21.2635
 2019-Mar-28 17:04 *   22 33 30.06 -05 24 56.8 104.1481  45.04786 2.13642100187837  -8.3876160  29.6581 /L  21.2636
 2019-Mar-28 17:05 *   22 33 30.17 -05 24 56.1 104.1497  45.04833 2.13641763816097  -8.3862006  29.6583 /L  21.2637
 2019-Mar-28 17:06 *   22 33 30.29 -05 24 55.3 104.1512  45.04881 2.13641427501067  -8.3847880  29.6584 /L  21.2638
 2019-Mar-28 17:07 *   22 33 30.41 -05 24 54.6 104.1528  45.04928 2.13641091242635  -8.3833782  29.6586 /L  21.2640
 2019-Mar-28 17:08 *   22 33 30.52 -05 24 53.8 104.1544  45.04975 2.13640755040691  -8.3819712  29.6587 /L  21.2641
 2019-Mar-28 17:09 *   22 33 30.64 -05 24 53.1 104.1560  45.05022 2.13640418895119  -8.3805671  29.6589 /L  21.2642
 2019-Mar-28 17:10 *   22 33 30.75 -05 24 52.3 104.1576  45.05069 2.13640082805804  -8.3791658  29.6590 /L  21.2644
 2019-Mar-28 17:11 *   22 33 30.87 -05 24 51.6 104.1592  45.05115 2.13639746772631  -8.3777674  29.6592 /L  21.2645
 2019-Mar-28 17:12 *   22 33 30.99 -05 24 50.8 104.1608  45.05162 2.13639410795483  -8.3763720  29.6593 /L  21.2646
 2019-Mar-28 17:13 *   22 33 31.10 -05 24 50.1 104.1625  45.05209 2.13639074874242  -8.3749796  29.6595 /L  21.2647
 2019-Mar-28 17:14 *   22 33 31.22 -05 24 49.3 104.1641  45.05256 2.13638739008789  -8.3735901  29.6597 /L  21.2649
 2019-Mar-28 17:15 *   22 33 31.34 -05 24 48.6 104.1658  45.05302 2.13638403199002  -8.3722036  29.6598 /L  21.2650
 2019-Mar-28 17:16 *   22 33 31.45 -05 24 47.8 104.1675  45.05349 2.13638067444761  -8.3708202  29.6600 /L  21.2651
 2019-Mar-28 17:17 *   22 33 31.57 -05 24 47.1 104.1692  45.05395 2.13637731745942  -8.3694399  29.6601 /L  21.2653
 2019-Mar-28 17:18 *   22 33 31.69 -05 24 46.3 104.1710  45.05442 2.13637396102424  -8.3680626  29.6603 /L  21.2654
 2019-Mar-28 17:19 *   22 33 31.80 -05 24 45.6 104.1727  45.05488 2.13637060514080  -8.3666885  29.6604 /L  21.2655
 2019-Mar-28 17:20 *   22 33 31.92 -05 24 44.8 104.1745  45.05534 2.13636724980785  -8.3653175  29.6606 /L  21.2656
