*******************************************************************************
Ephemeris / WWW_USER Wed Mar 27 21:57:37 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: SpaceX Roadster (spacecraft) (-143205) {source: tesla_s10}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Mar-28 15:00:00.0000 UT      
Stop  time      : A.D. 2019-Mar-29 03:00:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190327.p190618                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-MAR-27. PREDICTS-> 2019-JUN-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Mar-28 15:57 *m  00 45 44.03 +05 30 06.0 99.71024  42.86807 2.39932181521943  -4.4781846   5.2669 /T   3.7307
 2019-Mar-28 15:58 *m  00 45 44.15 +05 30 06.7 99.70900  42.86778 2.39932001935564  -4.4768357   5.2667 /T   3.7306
 2019-Mar-28 15:59 *m  00 45 44.26 +05 30 07.5 99.70777  42.86750 2.39931822403349  -4.4754838   5.2665 /T   3.7305
 2019-Mar-28 16:00 *m  00 45 44.37 +05 30 08.2 99.70655  42.86722 2.39931642925419  -4.4741288   5.2663 /T   3.7304
 2019-Mar-28 16:01 *m  00 45 44.48 +05 30 08.9 99.70535  42.86694 2.39931463501895  -4.4727708   5.2662 /T   3.7302
 2019-Mar-28 16:02 *m  00 45 44.59 +05 30 09.6 99.70416  42.86665 2.39931284132897  -4.4714099   5.2660 /T   3.7301
 2019-Mar-28 16:03 *m  00 45 44.70 +05 30 10.3 99.70299  42.86637 2.39931104818542  -4.4700460   5.2658 /T   3.7300
 2019-Mar-28 16:04 *m  00 45 44.81 +05 30 11.0 99.70182  42.86608 2.39930925558951  -4.4686792   5.2656 /T   3.7299
 2019-Mar-28 16:05 *m  00 45 44.92 +05 30 11.7 99.70067  42.86580 2.39930746354238  -4.4673095   5.2655 /T   3.7298
 2019-Mar-28 16:06 *m  00 45 45.04 +05 30 12.5 99.69953  42.86551 2.39930567204519  -4.4659369   5.2653 /T   3.7296
 2019-Mar-28 16:07 *m  00 45 45.15 +05 30 13.2 99.69841  42.86523 2.39930388109909  -4.4645615   5.2651 /T   3.7295
 2019-Mar-28 16:08 *m  00 45 45.26 +05 30 13.9 99.69730  42.86494 2.39930209070520  -4.4631833   5.2649 /T   3.7294
 2019-Mar-28 16:09 *m  00 45 45.37 +05 30 14.6 99.69620  42.86465 2.39930030086466  -4.4618023   5.2648 /T   3.7293
 2019-Mar-28 16:10 *m  00 45 45.48 +05 30 15.3 99.69512  42.86436 2.39929851157856  -4.4604186   5.2646 /T   3.7292
 2019-Mar-28 16:11 *m  00 45 45.59 +05 30 16.0 99.69404  42.86407 2.39929672284801  -4.4590321   5.2644 /T   3.7291
 2019-Mar-28 16:12 *m  00 45 45.70 +05 30 16.8 99.69299  42.86378 2.39929493467410  -4.4576430   5.2642 /T   3.7289
 2019-Mar-28 16:13 *m  00 45 45.81 +05 30 17.5 99.69194  42.86349 2.39929314705790  -4.4562511   5.2641 /T   3.7288
 2019-Mar-28 16:14 *m  00 45 45.93 +05 30 18.2 99.69091  42.86320 2.39929136000048  -4.4548566   5.2639 /T   3.7287
 2019-Mar-28 16:15 *m  00 45 46.04 +05 30 18.9 99.68989  42.86291 2.39928957350288  -4.4534595   5.2637 /T   3.7286
 2019-Mar-28 16:16 *m  00 45 46.15 +05 30 19.6 99.68888  42.86262 2.39928778756617  -4.4520598   5.2635 /T   3.7285
 2019-Mar-28 16:17 *m  00 45 46.26 +05 30 20.3 99.68789  42.86233 2.39928600219136  -4.4506576   5.2633 /T   3.7284
 2019-Mar-28 16:18 *m  00 45 46.37 +05 30 21.0 99.68691  42.86203 2.39928421737949  -4.4492528   5.2632 /T   3.7282
 2019-Mar-28 16:19 *m  00 45 46.48 +05 30 21.8 99.68595  42.86174 2.39928243313155  -4.4478455   5.2630 /T   3.7281
 2019-Mar-28 16:20 *m  00 45 46.59 +05 30 22.5 99.68500  42.86145 2.39928064944855  -4.4464358   5.2628 /T   3.7280
 2019-Mar-28 16:21 *m  00 45 46.71 +05 30 23.2 99.68406  42.86115 2.39927886633147  -4.4450236   5.2626 /T   3.7279
 2019-Mar-28 16:22 *m  00 45 46.82 +05 30 23.9 99.68313  42.86086 2.39927708378129  -4.4436090   5.2625 /T   3.7278
 2019-Mar-28 16:23 *m  00 45 46.93 +05 30 24.6 99.68222  42.86056 2.39927530179898  -4.4421920   5.2623 /T   3.7276
 2019-Mar-28 16:24 *m  00 45 47.04 +05 30 25.3 99.68132  42.86026 2.39927352038548  -4.4407726   5.2621 /T   3.7275
 2019-Mar-28 16:25 *m  00 45 47.15 +05 30 26.0 99.68044  42.85997 2.39927173954173  -4.4393509   5.2619 /T   3.7274
 2019-Mar-28 16:26 *m  00 45 47.26 +05 30 26.8 99.67957  42.85967 2.39926995926868  -4.4379269   5.2618 /T   3.7273
 2019-Mar-28 16:27 *m  00 45 47.37 +05 30 27.5 99.67871  42.85937 2.39926817956723  -4.4365006   5.2616 /T   3.7272
 2019-Mar-28 16:28 *m  00 45 47.48 +05 30 28.2 99.67787  42.85907 2.39926640043830  -4.4350721   5.2614 /T   3.7271
 2019-Mar-28 16:29 *m  00 45 47.60 +05 30 28.9 99.67704  42.85877 2.39926462188277  -4.4336413   5.2612 /T   3.7269
 2019-Mar-28 16:30 *m  00 45 47.71 +05 30 29.6 99.67622  42.85848 2.39926284390154  -4.4322084   5.2611 /T   3.7268
 2019-Mar-28 16:31 *m  00 45 47.82 +05 30 30.3 99.67542  42.85818 2.39926106649547  -4.4307733   5.2609 /T   3.7267
 2019-Mar-28 16:32 *m  00 45 47.93 +05 30 31.1 99.67463  42.85788 2.39925928966544  -4.4293360   5.2607 /T   3.7266
 2019-Mar-28 16:33 *m  00 45 48.04 +05 30 31.8 99.67385  42.85757 2.39925751341228  -4.4278967   5.2605 /T   3.7265
